employee_id,umur,jenis_kelamin,IPK,level,tahun_lulus,status_perkawinan,divisi,rerata_jam_bulanan,tingkat_kepuasan_bekerja,nilai_evaluasi_terakhir,jumlah_proyek_yang_dikerjakan,lama_di_perusahaan,kecelakaan_kerja,promosi_5thn_lalu,tingkat_gaji,resign
10046,31.0,Laki-laki,0.6398771105678723,Internship,2009.0,Sudah Menikah,sales,193.0,1.0,,3,72 Months,belum pernah,belum,rendah,0
10047,29.0,Laki-laki,1.3969363034255933,Probation,2012.0,Sudah Menikah,IT,248.0,0.51,,2,4 Years,belum pernah,belum,tinggi,0
10048,39.0,Perempuan,1.814050119226053,Junior,2002.0,Belum Menikah,sales,,0.49,,3,36 Months,belum pernah,belum,sedang,0
10049,,Laki-laki,0.9423291497809988,Internship,,Sudah Menikah,sales,153.0,0.95,0.4398961076916896,3,24 Months,belum pernah,belum,rendah,0
10050,,Laki-laki,3.5173056986896696,Full-Time,,Belum Menikah,hr,208.0,0.92,0.5624975000024357,4,24 Months,belum pernah,belum,sedang,0
10051,,Laki-laki,2.6451487249998764,Part-Time,,Sudah Menikah,product_mng,252.0,0.63,0.36544757180907367,5,2 Years,belum pernah,belum,rendah,0
10052,,Laki-laki,3.6764993325560256,Full-Time,,Sudah Menikah,product_mng,143.0,0.4,0.3946392893934516,2,36 Months,belum pernah,belum,sedang,1
10053,,Laki-laki,3.4267524722122706,Full-Time,,Belum Menikah,management,191.0,0.58,0.47580639703688826,2,3 Years,pernah,belum,rendah,0
10054,,Perempuan,2.2372846910866424,Senior,,Belum Menikah,technical,168.0,0.76,0.6173047109189257,4,6 Years,belum pernah,belum,sedang,0
10055,35.0,Laki-laki,2.2018747808277332,Senior,2006.0,Sudah Menikah,product_mng,207.0,0.97,,4,36 Months,belum pernah,belum,rendah,0
10056,,Laki-laki,2.8879321878865967,Full-Time,,Sudah Menikah,sales,,0.5,0.5061127288304481,4,24 Months,belum pernah,belum,tinggi,0
10057,,Laki-laki,3.3218339167856907,Full-Time,,Belum Menikah,sales,164.0,0.57,0.45314341633738986,4,3 Years,belum pernah,belum,rendah,0
10058,,Laki-laki,2.3813983726837176,Senior,,Sudah Menikah,support,214.0,0.82,0.6478437402057313,3,2 Years,belum pernah,belum,tinggi,0
10059,,Perempuan,2.61148750468463,Part-Time,,Belum Menikah,support,250.0,0.68,0.4733773151054429,3,24 Months,belum pernah,belum,sedang,0
10060,,Laki-laki,1.4440731490603707,Probation,,Sudah Menikah,sales,222.0,0.73,0.5475641490784767,3,4 Years,belum pernah,belum,sedang,0
10061,,Laki-laki,2.6657137207759307,Part-Time,,Sudah Menikah,marketing,143.0,0.37,0.4310613265230071,2,36 Months,belum pernah,belum,rendah,1
10062,31.0,Laki-laki,1.2739112559472734,Probation,2010.0,Sudah Menikah,RandD,202.0,0.71,,3,2 Years,belum pernah,belum,sedang,0
10063,,Laki-laki,3.5832899180617845,Full-Time,,Sudah Menikah,sales,274.0,0.78,0.5082874821903525,5,5 Years,belum pernah,belum,rendah,1
10064,,Perempuan,3.764117782074764,Full-Time,,Belum Menikah,marketing,226.0,0.47,0.36177774379375127,4,3 Years,belum pernah,belum,rendah,0
10065,,Laki-laki,1.9643091559901444,Junior,,Sudah Menikah,sales,218.0,0.82,0.545886118364895,5,60 Months,belum pernah,belum,rendah,1
10066,,Laki-laki,3.1386632969986943,Full-Time,,Sudah Menikah,sales,129.0,0.54,0.301387682658553,2,3 Years,pernah,belum,rendah,0
10067,,Laki-laki,1.9982392912348026,Junior,,Sudah Menikah,support,203.0,0.68,0.6464271537642765,5,24 Months,belum pernah,belum,rendah,0
10068,38.0,Laki-laki,3.7357304648891057,Full-Time,2005.0,Belum Menikah,technical,146.0,0.59,,4,3 Years,belum pernah,belum,sedang,0
10069,,Laki-laki,1.8974615625354934,Junior,,Belum Menikah,sales,,0.93,0.3432118648288663,5,36 Months,belum pernah,belum,rendah,0
10070,,Laki-laki,2.9367962717411036,Full-Time,,Sudah Menikah,management,,0.68,0.19694386733408573,3,24 Months,belum pernah,belum,sedang,0
10071,,Perempuan,2.354430792728684,Senior,,Belum Menikah,support,191.0,0.2,0.2642486351661628,6,5 Years,belum pernah,belum,rendah,0
10072,,Laki-laki,2.275935784584689,Senior,,Belum Menikah,sales,127.0,0.37,0.3548854499684122,2,3 Years,belum pernah,belum,sedang,1
10073,,Laki-laki,2.727093083217118,Part-Time,,Sudah Menikah,accounting,232.0,0.88,0.5129640763848897,5,60 Months,pernah,belum,sedang,1
10074,,Laki-laki,2.751770066089598,Part-Time,,Belum Menikah,technical,169.0,0.54,0.5256991298542104,3,24 Months,pernah,belum,tinggi,0
10075,,Laki-laki,0.8629861365360157,Internship,,Sudah Menikah,technical,147.0,0.86,0.4382776540637442,4,36 Months,belum pernah,belum,sedang,0
10076,,Laki-laki,2.3209370561260143,Senior,,Belum Menikah,sales,183.0,0.54,0.47091771029832474,3,3 Years,belum pernah,belum,rendah,0
10077,,Laki-laki,2.9819918354576607,Full-Time,,Sudah Menikah,technical,195.0,0.57,0.41138550961956166,3,3 Years,belum pernah,belum,sedang,0
10078,,Laki-laki,0.5270542092136864,Internship,,Sudah Menikah,technical,222.0,0.94,0.3928948670491954,5,36 Months,belum pernah,belum,rendah,0
10079,,Laki-laki,2.98097622350236,Full-Time,,Sudah Menikah,marketing,130.0,0.41,0.43231782748394043,2,3 Years,belum pernah,belum,rendah,1
10080,,Perempuan,1.8224730006986736,Junior,,Belum Menikah,support,244.0,0.11,0.5742896726333054,7,48 Months,belum pernah,belum,rendah,1
10081,,Laki-laki,2.5765386115917885,Part-Time,,Belum Menikah,support,195.0,0.6,0.5615223599247379,4,3 Years,belum pernah,belum,sedang,0
10082,,Laki-laki,2.6473011766891594,Part-Time,,Sudah Menikah,RandD,149.0,0.92,0.5123748380998169,4,6 Years,pernah,belum,sedang,0
10083,,Laki-laki,2.1581943426167087,Senior,,Sudah Menikah,marketing,167.0,0.2,0.381970948912241,5,7 Years,belum pernah,belum,sedang,0
10084,,Laki-laki,2.269582084054391,Senior,,Belum Menikah,management,178.0,0.73,0.5253229284075602,5,2 Years,belum pernah,belum,rendah,0
10085,29.0,Laki-laki,0.9229820215950775,Internship,2012.0,Belum Menikah,accounting,181.0,,0.45598537874138456,3,3 Years,belum pernah,belum,sedang,0
10086,,Perempuan,1.7124814642108932,Junior,,Belum Menikah,technical,242.0,0.26,0.4583385116388048,2,6 Years,belum pernah,belum,rendah,0
10087,,Laki-laki,0.11358555344859922,Internship,,Sudah Menikah,product_mng,223.0,0.99,0.4428820427680741,4,2 Years,pernah,belum,rendah,0
10088,,Laki-laki,1.5801676003686254,Probation,,Sudah Menikah,RandD,168.0,0.89,0.5805558838688745,5,24 Months,belum pernah,belum,rendah,0
10089,46.0,Laki-laki,1.2076733958755383,Probation,1995.0,Sudah Menikah,technical,241.0,,0.4308089455870141,3,5 Years,pernah,belum,rendah,0
10090,,Laki-laki,2.3384686572480033,Senior,,Belum Menikah,support,250.0,0.86,0.34347939525272264,4,6 Years,belum pernah,belum,sedang,1
10091,,Laki-laki,3.1197906518744443,Full-Time,,Sudah Menikah,management,130.0,0.33,0.45330325412153194,5,48 Months,belum pernah,belum,tinggi,0
10092,,Laki-laki,3.0333214830625264,Full-Time,,Sudah Menikah,support,,0.82,0.17305001959924055,3,24 Months,pernah,belum,rendah,0
10093,,Laki-laki,2.8117301775774144,Part-Time,,Sudah Menikah,sales,259.0,0.78,0.4881956006383317,5,3 Years,belum pernah,belum,rendah,0
10094,,Laki-laki,1.8432284974885587,Junior,,Sudah Menikah,sales,,0.34,0.6672490099775576,5,72 Months,belum pernah,belum,sedang,0
10095,,Perempuan,2.938926539594567,Full-Time,,Belum Menikah,IT,,0.34,0.4542013910708533,5,2 Years,pernah,belum,rendah,0
10096,,Laki-laki,1.5563666283755506,Probation,,Belum Menikah,management,155.0,0.51,0.4957680560212717,3,24 Months,belum pernah,belum,rendah,0
10097,,Laki-laki,3.0447542743056557,Full-Time,,Sudah Menikah,technical,103.0,0.61,0.4493579157350327,3,24 Months,belum pernah,belum,tinggi,0
10098,,Laki-laki,2.811380219946543,Part-Time,,Belum Menikah,RandD,225.0,0.51,0.5411649597600143,5,4 Years,belum pernah,belum,rendah,0
10099,,Laki-laki,2.7846062125947038,Part-Time,,Sudah Menikah,support,147.0,0.38,0.4323891266785907,2,36 Months,belum pernah,belum,rendah,1
10100,31.0,Laki-laki,2.9737198758636425,Full-Time,2011.0,Belum Menikah,sales,218.0,0.2,,3,48 Months,belum pernah,belum,rendah,0
10101,,Laki-laki,2.6299236153143895,Part-Time,,Sudah Menikah,product_mng,266.0,0.85,0.501179730755029,4,6 Years,belum pernah,belum,rendah,1
10102,35.0,Laki-laki,2.7348077902589822,Part-Time,2007.0,Sudah Menikah,IT,285.0,0.1,,7,48 Months,belum pernah,belum,rendah,1
10103,,Laki-laki,2.7808849540834375,Part-Time,,Sudah Menikah,sales,157.0,0.64,0.39899308964251784,2,24 Months,belum pernah,belum,sedang,0
10104,,Laki-laki,1.9817178253390784,Junior,,Sudah Menikah,sales,140.0,0.39,0.3785811772982777,2,3 Years,belum pernah,belum,sedang,1
10105,,Laki-laki,3.3295097826949913,Full-Time,,Sudah Menikah,sales,158.0,0.4,0.4244209859852225,2,3 Years,belum pernah,belum,rendah,1
10106,31.0,Laki-laki,0.9270729899119808,Internship,2010.0,Sudah Menikah,hr,198.0,,0.5301714457789022,2,24 Months,belum pernah,belum,rendah,0
10107,30.0,Laki-laki,3.29726715895102,Full-Time,2013.0,Sudah Menikah,sales,155.0,,0.30450041771187913,3,3 Years,belum pernah,sudah,rendah,0
10108,,Laki-laki,2.6911032257691465,Part-Time,,Sudah Menikah,management,192.0,0.49,0.4489856261218111,3,7 Years,belum pernah,belum,tinggi,0
10109,35.0,Laki-laki,1.709120081924804,Junior,2006.0,Belum Menikah,sales,227.0,0.7,,4,36 Months,belum pernah,belum,sedang,0
10110,37.0,Perempuan,3.4081091852489824,Full-Time,2006.0,Belum Menikah,support,178.0,0.59,,4,2 Years,belum pernah,belum,sedang,0
10111,,Laki-laki,2.721343172010366,Part-Time,,Belum Menikah,sales,237.0,0.93,0.26336038742510315,3,48 Months,pernah,belum,rendah,0
10112,,Perempuan,0.9314560969625507,Internship,,Belum Menikah,management,179.0,0.48,0.655927992617278,5,3 Years,belum pernah,belum,sedang,0
10113,,Laki-laki,3.257757448007367,Full-Time,,Sudah Menikah,RandD,165.0,0.59,0.4916808267072078,5,2 Years,belum pernah,belum,sedang,0
10114,,Laki-laki,3.426149846307969,Full-Time,,Belum Menikah,technical,183.0,0.48,0.5380494923849689,3,2 Years,belum pernah,belum,rendah,0
10115,,Perempuan,2.3190832261916445,Senior,,Belum Menikah,sales,174.0,0.72,0.6135763210921805,4,2 Years,belum pernah,belum,rendah,0
10116,,Laki-laki,2.658333489564548,Part-Time,,Sudah Menikah,IT,243.0,0.82,0.3707040820791123,5,60 Months,belum pernah,belum,rendah,1
10117,,Perempuan,2.820214909492423,Part-Time,,Belum Menikah,sales,189.0,0.73,0.4491273509808351,6,36 Months,pernah,belum,sedang,0
10118,,Perempuan,3.6819446683878643,Full-Time,,Belum Menikah,product_mng,152.0,0.4,0.41189695360517353,2,36 Months,belum pernah,belum,sedang,1
10119,,Laki-laki,2.9188512072035784,Full-Time,,Sudah Menikah,sales,,0.97,0.27480036446757256,4,2 Years,belum pernah,belum,sedang,0
10120,40.0,Laki-laki,2.391629586976768,Senior,2001.0,Belum Menikah,sales,149.0,0.75,,5,48 Months,belum pernah,belum,sedang,0
10121,,Laki-laki,1.6949920988880667,Junior,,Sudah Menikah,technical,178.0,0.79,0.44283781297425684,4,2 Years,belum pernah,belum,rendah,0
10122,,Laki-laki,3.3951616471969754,Full-Time,,Sudah Menikah,IT,178.0,0.8,0.33583428241396424,3,3 Years,belum pernah,belum,rendah,0
10123,,Laki-laki,1.8314071023500025,Junior,,Sudah Menikah,sales,132.0,0.78,0.5740223201384007,3,2 Years,belum pernah,belum,sedang,0
10124,36.0,Laki-laki,1.0762829688305557,Internship,2005.0,Sudah Menikah,sales,159.0,,,2,3 Years,belum pernah,belum,rendah,1
10125,,Laki-laki,2.93689628884558,Full-Time,,Sudah Menikah,sales,127.0,0.44,0.504111271770499,2,36 Months,pernah,belum,rendah,1
10126,,Laki-laki,0.7363159794016221,Internship,,Sudah Menikah,technical,249.0,0.73,0.6978668025675149,5,3 Years,belum pernah,belum,sedang,0
10127,,Perempuan,2.059599949416941,Junior,,Belum Menikah,product_mng,258.0,0.72,0.5263894461221847,3,3 Years,belum pernah,belum,sedang,0
10128,43.0,Laki-laki,2.358405221167938,Senior,1998.0,Sudah Menikah,support,130.0,0.43,,2,3 Years,belum pernah,belum,tinggi,1
10129,,Laki-laki,3.403192178779801,Full-Time,,Belum Menikah,support,176.0,0.79,0.42894347371174874,5,36 Months,belum pernah,belum,tinggi,0
10130,,Laki-laki,2.3482076096784796,Senior,,Sudah Menikah,marketing,144.0,0.14,0.7009784968981471,4,5 Years,belum pernah,belum,rendah,0
10131,,Laki-laki,3.044732877964612,Full-Time,,Sudah Menikah,sales,248.0,0.97,0.6600076827709729,4,2 Years,belum pernah,belum,rendah,0
10132,25.0,Laki-laki,2.3160206273674633,Senior,2016.0,Belum Menikah,marketing,133.0,,,2,3 Years,belum pernah,belum,rendah,1
10133,,Laki-laki,2.4102535239075884,Senior,,Sudah Menikah,management,247.0,0.57,0.40391701242139855,4,24 Months,belum pernah,belum,rendah,0
10134,49.0,Laki-laki,3.0831246751807817,Full-Time,1993.0,Belum Menikah,sales,,0.85,,4,3 Years,belum pernah,belum,sedang,0
10135,,Laki-laki,1.9200265679455237,Junior,,Sudah Menikah,hr,238.0,0.58,0.45196632987236063,4,36 Months,belum pernah,belum,rendah,1
10136,,Laki-laki,2.7098740349903583,Part-Time,,Sudah Menikah,product_mng,156.0,0.79,0.4369531895801039,5,24 Months,belum pernah,belum,rendah,0
10137,,Laki-laki,2.8782884671699556,Part-Time,,Belum Menikah,RandD,130.0,0.51,0.21654047147139519,4,3 Years,belum pernah,belum,sedang,0
10138,,Laki-laki,2.959291401001368,Full-Time,,Sudah Menikah,support,100.0,0.66,0.6116343343162793,6,4 Years,pernah,belum,rendah,0
10139,,Perempuan,1.016921164203622,Internship,,Belum Menikah,sales,210.0,0.48,0.43417352525813135,4,24 Months,belum pernah,belum,sedang,0
10140,,Laki-laki,2.5455011890072226,Part-Time,,Sudah Menikah,product_mng,145.0,0.56,0.5434503448579497,3,2 Years,belum pernah,belum,rendah,0
10141,21.0,Laki-laki,2.18602898091215,Senior,2020.0,Sudah Menikah,marketing,195.0,0.89,,3,2 Years,belum pernah,belum,sedang,0
10142,,Laki-laki,2.3505734567234278,Senior,,Belum Menikah,management,153.0,0.45,0.5371081170919211,2,3 Years,belum pernah,belum,rendah,1
10143,,Laki-laki,2.2426399524600034,Senior,,Sudah Menikah,sales,,0.97,0.5360439437542313,3,48 Months,belum pernah,belum,rendah,0
10144,,Laki-laki,1.5627232734943868,Probation,,Sudah Menikah,sales,266.0,0.61,0.5224211941414202,5,24 Months,belum pernah,belum,sedang,0
10145,,Laki-laki,3.3314789141182493,Full-Time,,Belum Menikah,technical,,0.69,0.38651993195066964,4,2 Years,pernah,belum,rendah,0
10146,,Laki-laki,2.4085293785679665,Senior,,Belum Menikah,sales,218.0,0.79,0.3427889938655701,4,5 Years,belum pernah,belum,rendah,1
10147,,Laki-laki,3.2122386397855833,Full-Time,,Sudah Menikah,sales,,0.73,0.43464046332690254,5,36 Months,belum pernah,belum,rendah,0
10148,,Laki-laki,2.7601614936561267,Part-Time,,Belum Menikah,accounting,261.0,0.1,0.6522661854329883,6,4 Years,belum pernah,belum,sedang,1
10149,,Laki-laki,2.120924141354497,Senior,,Belum Menikah,support,128.0,0.44,0.3366079035562842,4,2 Years,belum pernah,belum,rendah,0
10150,,Laki-laki,3.0027429687551845,Full-Time,,Sudah Menikah,sales,235.0,0.66,0.47798411655778195,5,96 Months,pernah,belum,rendah,0
10151,,Laki-laki,3.306764632058658,Full-Time,,Sudah Menikah,sales,189.0,1.0,0.3741836300883855,3,36 Months,belum pernah,belum,rendah,0
10152,,Laki-laki,1.2495061180502258,Probation,,Sudah Menikah,sales,166.0,0.51,0.4905066210262696,4,4 Years,pernah,belum,rendah,0
10153,,Laki-laki,3.125076157475093,Full-Time,,Sudah Menikah,marketing,241.0,0.93,0.4617315648423935,5,4 Years,belum pernah,belum,tinggi,0
10154,,Laki-laki,2.627351343032828,Part-Time,,Belum Menikah,sales,242.0,0.87,0.8583638202702544,3,5 Years,belum pernah,belum,rendah,0
10155,44.0,Laki-laki,2.648145372949802,Part-Time,1998.0,Belum Menikah,sales,218.0,,0.32836576327089323,5,5 Years,belum pernah,belum,rendah,0
10156,,Laki-laki,3.3771868402945655,Full-Time,,Belum Menikah,sales,144.0,0.4,0.33251063126451236,2,3 Years,pernah,belum,rendah,1
10157,,Laki-laki,2.4286547283802067,Senior,,Sudah Menikah,support,209.0,0.98,0.3166881361513884,3,3 Years,belum pernah,belum,rendah,0
10158,,Laki-laki,1.437315215856224,Probation,,Sudah Menikah,technical,260.0,0.33,0.4309129129042394,6,3 Years,belum pernah,belum,rendah,0
10159,44.0,Laki-laki,2.494238480121276,Senior,1998.0,Sudah Menikah,IT,220.0,0.75,,4,2 Years,belum pernah,belum,sedang,0
10160,,Laki-laki,1.0907475415728545,Internship,,Sudah Menikah,sales,158.0,0.54,0.3391006256867229,3,3 Years,belum pernah,belum,rendah,0
10161,28.0,Perempuan,2.4799449202106727,Senior,2014.0,Belum Menikah,sales,143.0,0.83,,5,48 Months,belum pernah,belum,sedang,0
10162,,Perempuan,2.959432698372529,Full-Time,,Belum Menikah,IT,,0.75,0.44508752719569783,5,3 Years,pernah,belum,sedang,0
10163,,Laki-laki,3.4276375165791566,Full-Time,,Belum Menikah,support,209.0,0.99,0.6902133787375326,3,24 Months,belum pernah,belum,sedang,0
10164,,Laki-laki,2.0474121534899625,Junior,,Belum Menikah,product_mng,168.0,0.52,0.5482080541483988,4,3 Years,belum pernah,belum,sedang,0
10165,,Perempuan,1.8723406438969767,Junior,,Belum Menikah,product_mng,207.0,0.62,0.4186878858633789,3,4 Years,belum pernah,belum,rendah,0
10166,,Laki-laki,1.3192522557751731,Probation,,Sudah Menikah,sales,,0.76,0.38527549159633173,3,2 Years,belum pernah,belum,rendah,0
10167,,Laki-laki,3.708525481719923,Full-Time,,Belum Menikah,sales,174.0,0.69,0.49899778411115864,3,6 Years,belum pernah,belum,sedang,0
10168,40.0,Laki-laki,3.000893787583185,Full-Time,2002.0,Sudah Menikah,sales,267.0,0.11,,6,48 Months,belum pernah,belum,sedang,1
10169,,Laki-laki,3.1379802942672557,Full-Time,,Sudah Menikah,IT,261.0,0.82,0.29874654347636387,3,2 Years,pernah,belum,sedang,0
10170,,Laki-laki,2.061337260246358,Junior,,Sudah Menikah,support,157.0,0.86,0.5324233449090989,5,4 Years,belum pernah,belum,rendah,0
10171,,Laki-laki,1.6335299537701136,Junior,,Belum Menikah,technical,149.0,0.43,0.41963822848164173,2,3 Years,belum pernah,belum,sedang,1
10172,44.0,Laki-laki,1.2830379649020174,Probation,1997.0,Sudah Menikah,marketing,188.0,,0.5956426606048915,4,3 Years,pernah,belum,rendah,0
10173,42.0,Laki-laki,2.755387092121758,Part-Time,2000.0,Sudah Menikah,sales,170.0,0.58,,4,2 Years,belum pernah,belum,sedang,0
10174,,Laki-laki,3.5972120924462403,Full-Time,,Sudah Menikah,sales,151.0,0.92,0.5109311392882036,3,6 Years,pernah,belum,rendah,0
10175,45.0,Laki-laki,1.5504947896575485,Probation,1996.0,Sudah Menikah,IT,256.0,0.11,,6,48 Months,belum pernah,belum,rendah,1
10176,,Laki-laki,3.624848822505223,Full-Time,,Sudah Menikah,RandD,263.0,0.84,0.39290588573224705,3,24 Months,belum pernah,belum,rendah,0
10177,,Laki-laki,2.54831654034584,Part-Time,,Belum Menikah,sales,167.0,0.78,0.42869131987092957,3,2 Years,belum pernah,belum,rendah,0
10178,,Laki-laki,0.9557067358368939,Internship,,Belum Menikah,management,250.0,0.79,0.4686225713683915,5,24 Months,pernah,sudah,sedang,0
10179,,Laki-laki,0.6934418705566362,Internship,,Sudah Menikah,accounting,240.0,0.83,0.6033126385140484,5,3 Years,belum pernah,belum,tinggi,0
10180,30.0,Laki-laki,3.3218726127393388,Full-Time,2013.0,Belum Menikah,sales,236.0,0.78,,5,5 Years,belum pernah,belum,sedang,1
